date,home,away,neutral,hg,ag,actual,cutoff,train_n,model,p_home,p_draw,p_away,predictable
2025-03-25,Taiwan,Turkmenistan,False,1,2,away,2025-02-15,4256,dixon_coles,0.37489834854551507,0.2787265874967378,0.3463750639577471,True
2025-03-25,Thailand,Sri Lanka,False,1,0,home,2025-02-15,4256,dixon_coles,0.8987876308434442,0.0856073030981322,0.01560506605842361,True
2025-03-25,Myanmar,Afghanistan,False,2,1,home,2025-02-15,4256,dixon_coles,0.3761004958288751,0.2777599026035682,0.34613960156755663,True
2025-03-25,Syria,Pakistan,True,2,0,home,2025-02-15,4256,dixon_coles,0.948233398976027,0.047730801319984716,0.004035799703988252,True
2025-03-25,Vietnam,Laos,False,5,0,home,2025-02-15,4256,dixon_coles,0.942900293499316,0.043070117383626386,0.014029589117057572,True
2025-03-25,Malaysia,Nepal,False,2,0,home,2025-02-15,4256,dixon_coles,0.8011991648828835,0.14129165301775798,0.05750918209935844,True
2025-03-25,Costa Rica,Belize,False,6,1,home,2025-02-15,4256,dixon_coles,0.9412895473237723,0.05003409594487042,0.008676356731357023,True
2025-03-25,Guatemala,Guyana,False,2,0,home,2025-02-15,4256,dixon_coles,0.833266117255931,0.11406699021971389,0.052666892524355115,True
2025-03-25,Honduras,Bermuda,False,2,0,home,2025-02-15,4256,dixon_coles,0.9717567601761918,0.02163078243482951,0.006612457388978631,True
2025-03-25,Jamaica,Saint Vincent and the Grenadines,False,3,0,home,2025-02-15,4256,dixon_coles,0.9628557658068875,0.028041347005875444,0.009102887187237204,True
2025-03-25,Martinique,Suriname,False,0,1,away,2025-02-15,4256,dixon_coles,0.3555598991130577,0.2963047134437073,0.34813538744323524,True
2025-03-25,Nicaragua,Guadeloupe,False,0,1,away,2025-02-15,4256,dixon_coles,0.48563677513006664,0.31068374029721285,0.2036794845727205,True
2025-03-25,Trinidad and Tobago,Cuba,False,4,0,home,2025-02-15,4256,dixon_coles,0.522873008838401,0.2676402847152507,0.20948670644634826,True
2025-03-25,Azerbaijan,Belarus,False,0,2,away,2025-02-15,4256,dixon_coles,0.449204487649213,0.30102338625122566,0.24977212609956137,True
2025-03-25,Cambodia,Aruba,False,1,2,away,2025-02-15,4256,dixon_coles,0.554226993090581,0.2206443271133331,0.22512867979608595,True
2025-03-25,Dominican Republic,Puerto Rico,False,2,0,home,2025-02-15,4256,dixon_coles,0.7259722384479896,0.15567483699382226,0.1183529245581882,True
2025-03-25,Niger,Bonaire,True,6,0,home,2025-02-15,4256,dixon_coles,0.9416364892905099,0.04879378158521172,0.009569729124278423,True
